Name,Category,Availability,Quantity,UPC,Price (excl. tax),Price (incl. tax),Tax,Number of reviews,URL
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,In Stock,15,fd8585283fc7d2d7,57.36,57.36,0.0,0,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html/../../../../i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,
Will You Won't You Want Me?,Womens Fiction,In Stock,12,077b635ff2afc578,13.86,13.86,0.0,0,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html/../../../../will-you-wont-you-want-me_644/index.html,
Keep Me Posted,Womens Fiction,In Stock,11,20dc4f1ac5d4fd9c,20.46,20.46,0.0,0,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html/../../../../keep-me-posted_594/index.html,
Grey (Fifty Shades #4),Womens Fiction,In Stock,11,b5953ca1f8a0b8d7,48.49,48.49,0.0,0,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html/../../../../grey-fifty-shades-4_592/index.html,
Meternity,Womens Fiction,In Stock,7,725cd8d23d78cdca,43.58,43.58,0.0,0,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html/../../../../meternity_478/index.html,
Some Women,Womens Fiction,In Stock,4,31f5bbf4974d29c9,13.73,13.73,0.0,0,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html/../../../../some-women_341/index.html,
Shopaholic Ties the Knot (Shopaholic #3),Womens Fiction,In Stock,4,38199c5d7da0c0ef,48.39,48.39,0.0,0,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html/../../../../shopaholic-ties-the-knot-shopaholic-3_340/index.html,
Can You Keep a Secret?,Womens Fiction,In Stock,4,0812f54c93d726ce,21.94,21.94,0.0,0,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html/../../../../can-you-keep-a-secret_315/index.html,
Twenties Girl,Womens Fiction,In Stock,3,8ebad30219b8679c,42.8,42.8,0.0,0,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html/../../../../twenties-girl_292/index.html,
The Undomestic Goddess,Womens Fiction,In Stock,3,813cff2aefa5d1f0,45.75,45.75,0.0,0,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html/../../../../the-undomestic-goddess_286/index.html,
The Nanny Diaries (Nanny #1),Womens Fiction,In Stock,3,6263c1d2997b8ce0,52.53,52.53,0.0,0,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html/../../../../the-nanny-diaries-nanny-1_265/index.html,
The Devil Wears Prada (The Devil Wears Prada #1),Womens Fiction,In Stock,3,a6ab0cb7106a67f2,44.29,44.29,0.0,0,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html/../../../../the-devil-wears-prada-the-devil-wears-prada-1_243/index.html,
Something Borrowed (Darcy & Rachel #1),Womens Fiction,In Stock,3,ac27ab4bcd9c492e,48.96,48.96,0.0,0,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html/../../../../something-borrowed-darcy-rachel-1_224/index.html,
Something Blue (Darcy & Rachel #2),Womens Fiction,In Stock,3,3fc9d51d1c4d6ba7,54.62,54.62,0.0,0,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html/../../../../something-blue-darcy-rachel-2_223/index.html,
I've Got Your Number,Womens Fiction,In Stock,3,6b32b561dab8036c,19.69,19.69,0.0,0,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html/../../../../ive-got-your-number_173/index.html,
The Edge of Reason (Bridget Jones #2),Womens Fiction,In Stock,1,29fc016c459aeb14,19.18,19.18,0.0,0,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html/../../../../the-edge-of-reason-bridget-jones-2_63/index.html,
Bridget Jones's Diary (Bridget Jones #1),Womens Fiction,In Stock,1,a2b4b685dfa94733,29.82,29.82,0.0,0,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html/../../../../bridget-joness-diary-bridget-jones-1_10/index.html,
Soumission,Fiction,In Stock,20,6957f44c3847a760,50.1,50.1,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../soumission_998/index.html,
Private Paris (Private #10),Fiction,In Stock,17,b12b89017878a60d,47.61,47.61,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../private-paris-private-10_958/index.html,
We Love You  Charlie Freeman,Fiction,In Stock,16,8d455c7539795d2a,50.27,50.27,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../we-love-you-charlie-freeman_954/index.html,
Thirst,Fiction,In Stock,16,709822d0b5bcb7f4,17.27,17.27,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../thirst_946/index.html,
The Murder That Never Was (Forensic Instincts #5),Fiction,In Stock,16,d01ac97e2b8947c2,54.11,54.11,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../the-murder-that-never-was-forensic-instincts-5_939/index.html,
Tuesday Nights in 1980,Fiction,In Stock,15,b8736690cf263a3c,21.04,21.04,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../tuesday-nights-in-1980_870/index.html,
The Vacationers,Fiction,In Stock,15,fd3a622648667296,42.15,42.15,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../the-vacationers_863/index.html,
The Regional Office Is Under Attack!,Fiction,In Stock,15,0651062381f0636a,51.36,51.36,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../the-regional-office-is-under-attack_858/index.html,
Finders Keepers (Bill Hodges Trilogy #2),Fiction,In Stock,15,edb3097e71330040,53.53,53.53,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../finders-keepers-bill-hodges-trilogy-2_807/index.html,
The Time Keeper,Fiction,In Stock,14,e9906e2f0d189745,27.88,27.88,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../the-time-keeper_766/index.html,
The Testament of Mary,Fiction,In Stock,14,081305e6df719dff,52.67,52.67,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../the-testament-of-mary_765/index.html,
The First Hostage (J.B. Collins #2),Fiction,In Stock,14,a86972014275e072,25.85,25.85,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../the-first-hostage-jb-collins-2_749/index.html,
Take Me with You,Fiction,In Stock,14,2c04320e110a14a3,45.21,45.21,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../take-me-with-you_741/index.html,
Still Life with Bread Crumbs,Fiction,In Stock,14,fe44cc816576c652,26.41,26.41,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../still-life-with-bread-crumbs_738/index.html,
Shtum,Fiction,In Stock,14,830fb3967c74866d,55.84,55.84,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../shtum_733/index.html,
My Name Is Lucy Barton,Fiction,In Stock,14,727bf2b86b19ad88,41.56,41.56,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../my-name-is-lucy-barton_720/index.html,
My Mrs. Brown,Fiction,In Stock,14,cc82685d9f49bc2c,24.48,24.48,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../my-mrs-brown_719/index.html,
Mr. Mercedes (Bill Hodges Trilogy #1),Fiction,In Stock,14,caa2e5b3fb1b2d4c,28.9,28.9,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../mr-mercedes-bill-hodges-trilogy-1_717/index.html,
I Am Pilgrim (Pilgrim #1),Fiction,In Stock,14,aeff7b87a8e83ebb,10.6,10.6,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../i-am-pilgrim-pilgrim-1_703/index.html,
Eligible (The Austen Project #4),Fiction,In Stock,14,9eaf58b03a2779cc,27.09,27.09,0.0,0,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html/../../../../eligible-the-austen-project-4_692/index.html,
Birdsong: A Story in Pictures,Childrens,In Stock,19,9528d0948525bf5f,54.64,54.64,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../birdsong-a-story-in-pictures_975/index.html,
The Bear and the Piano,Childrens,In Stock,18,9f6568e9c95f60b0,36.89,36.89,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../the-bear-and-the-piano_967/index.html,
The Secret of Dreadwillow Carse,Childrens,In Stock,16,b5ea0b5dabed25a8,56.13,56.13,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../the-secret-of-dreadwillow-carse_944/index.html,
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Childrens,In Stock,15,37c0cb19713d8dda,58.08,58.08,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,
Little Red,Childrens,In Stock,15,4aa03792b50f0b22,13.47,13.47,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../little-red_817/index.html,
Walt Disney's Alice in Wonderland,Childrens,In Stock,14,6a31307a81e8f3a8,12.96,12.96,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../walt-disneys-alice-in-wonderland_777/index.html,
Twenty Yawns,Childrens,In Stock,14,1d6443ffba9dfd80,22.08,22.08,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../twenty-yawns_773/index.html,
Rain Fish,Childrens,In Stock,14,a6454e329f872b78,23.57,23.57,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../rain-fish_728/index.html,
Once Was a Time,Childrens,In Stock,14,e34efcc824685332,18.28,18.28,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../once-was-a-time_724/index.html,
Luis Paints the World,Childrens,In Stock,14,5b43cae640f2338a,53.95,53.95,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../luis-paints-the-world_714/index.html,
Nap-a-Roo,Childrens,In Stock,9,913e7109cec0cb4c,25.08,25.08,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../nap-a-roo_567/index.html,
The Whale,Childrens,In Stock,7,0ff9d10864db8364,35.96,35.96,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../the-whale_501/index.html,
Shrunken Treasures: Literary Classics  Short  Sweet  and Silly,Childrens,In Stock,7,9639e89d20228e6e,52.87,52.87,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../shrunken-treasures-literary-classics-short-sweet-and-silly_484/index.html,
Raymie Nightingale,Childrens,In Stock,7,31c56c4d0fe19340,34.41,34.41,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../raymie-nightingale_482/index.html,
Playing from the Heart,Childrens,In Stock,7,68008abf6409dfde,32.38,32.38,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../playing-from-the-heart_481/index.html,
Maybe Something Beautiful: How Art Transformed a Neighborhood,Childrens,In Stock,5,81c68492ccd72941,22.54,22.54,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../maybe-something-beautiful-how-art-transformed-a-neighborhood_386/index.html,
The Wild Robot,Childrens,In Stock,3,75fed6a47f69859d,56.07,56.07,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../the-wild-robot_288/index.html,
The Thing About Jellyfish,Childrens,In Stock,3,3d15714d4d3d15dd,48.77,48.77,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../the-thing-about-jellyfish_283/index.html,
The Lonely Ones,Childrens,In Stock,3,cf2f27fdf94ba20e,43.59,43.59,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../the-lonely-ones_261/index.html,
The Day the Crayons Came Home (Crayons),Childrens,In Stock,3,b22362b434e8ee62,26.33,26.33,0.0,0,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html/../../../../the-day-the-crayons-came-home-crayons_241/index.html,
Don't Be a Jerk: And Other Practical Advice from Dogen  Japan's Greatest Zen Master,Religion,In Stock,16,fce19f9b4a943f22,37.97,37.97,0.0,0,http://books.toscrape.com/catalogue/category/books/religion_12/index.html/../../../../dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,
You Are What You Love: The Spiritual Power of Habit,Religion,In Stock,15,796c87ddbbaaf8c5,21.87,21.87,0.0,0,http://books.toscrape.com/catalogue/category/books/religion_12/index.html/../../../../you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,
God: The Most Unpleasant Character in All Fiction,Religion,In Stock,14,eec424a84c9e4c68,30.03,30.03,0.0,0,http://books.toscrape.com/catalogue/category/books/religion_12/index.html/../../../../god-the-most-unpleasant-character-in-all-fiction_697/index.html,
The Book of Mormon,Religion,In Stock,9,3f25a2fedae191cc,24.57,24.57,0.0,0,http://books.toscrape.com/catalogue/category/books/religion_12/index.html/../../../../the-book-of-mormon_571/index.html,
A History of God: The 4 000-Year Quest of Judaism  Christianity  and Islam,Religion,In Stock,4,d12ca4020c2f602e,27.62,27.62,0.0,0,http://books.toscrape.com/catalogue/category/books/religion_12/index.html/../../../../a-history-of-god-the-4000-year-quest-of-judaism-christianity-and-islam_310/index.html,
The Bhagavad Gita,Religion,In Stock,1,f3a0b8c835129558,57.49,57.49,0.0,0,http://books.toscrape.com/catalogue/category/books/religion_12/index.html/../../../../the-bhagavad-gita_60/index.html,
Choosing Our Religion: The Spiritual Lives of America's Nones,Religion,In Stock,1,a812f6969ddf3e39,28.42,28.42,0.0,0,http://books.toscrape.com/catalogue/category/books/religion_12/index.html/../../../../choosing-our-religion-the-spiritual-lives-of-americas-nones_14/index.html,
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Nonfiction,In Stock,18,4c28def39d850cdf,40.3,40.3,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,In Stock,18,3c039985229453bf,31.05,31.05,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,
Reasons to Stay Alive,Nonfiction,In Stock,17,c8f7f0cb1abb9cac,26.41,26.41,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../reasons-to-stay-alive_959/index.html,
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,In Stock,17,c27f6e1f185b0383,23.11,23.11,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,
Unseen City: The Majesty of Pigeons  the Discreet Charm of Snails & Other Wonders of the Urban Wilderness,Nonfiction,In Stock,16,d170b5a0da46380e,44.18,44.18,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,In Stock,16,7858914fad68493c,31.12,31.12,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,In Stock,16,0da9aa9d24677fc0,16.77,16.77,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,In Stock,16,acd86a5426e21ca0,37.13,37.13,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,In Stock,16,a30b270e25489e5c,56.06,56.06,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,In Stock,16,87b0615b6e1f4d7b,41.83,41.83,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,In Stock,16,d7310206583a54b6,19.83,19.83,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,
In the Country We Love: My Family Divided,Nonfiction,In Stock,16,b136b1b180ca753a,22.0,22.0,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../in-the-country-we-love-my-family-divided_901/index.html,
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,In Stock,16,311c0dd0e354a33e,54.35,54.35,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,In Stock,16,bee3672891cca906,29.14,29.14,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,
Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,In Stock,16,38d45839cb1c83c1,30.81,30.81,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,
The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,In Stock,15,8ec14b1576cb7cb5,43.54,43.54,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,
The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,In Stock,15,209adad1015af86f,38.21,38.21,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,
The Genius of Birds,Nonfiction,In Stock,15,42d0d7c92b75fc1c,17.24,17.24,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../the-genius-of-birds_843/index.html,
The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,In Stock,15,dd047728de72ad62,38.49,38.49,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,
So You've Been Publicly Shamed,Nonfiction,In Stock,15,1b33663ad7b95fd8,12.23,12.23,0.0,0,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html/../../../../so-youve-been-publicly-shamed_832/index.html,
Rip it Up and Start Again,Music,In Stock,19,a34ba96d4081e6a4,35.02,35.02,0.0,0,http://books.toscrape.com/catalogue/category/books/music_14/index.html/../../../../rip-it-up-and-start-again_986/index.html,
Our Band Could Be Your Life: Scenes from the American Indie Underground  1981-1991,Music,In Stock,19,deda3e61b9514b83,57.25,57.25,0.0,0,http://books.toscrape.com/catalogue/category/books/music_14/index.html/../../../../our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,
How Music Works,Music,In Stock,19,327f68a59745c102,37.32,37.32,0.0,0,http://books.toscrape.com/catalogue/category/books/music_14/index.html/../../../../how-music-works_979/index.html,
Love Is a Mix Tape (Music #1),Music,In Stock,14,adb5f51c2e2ab13f,18.03,18.03,0.0,0,http://books.toscrape.com/catalogue/category/books/music_14/index.html/../../../../love-is-a-mix-tape-music-1_711/index.html,
Please Kill Me: The Uncensored Oral History of Punk,Music,In Stock,8,4a823d80aa30dbb0,31.19,31.19,0.0,0,http://books.toscrape.com/catalogue/category/books/music_14/index.html/../../../../please-kill-me-the-uncensored-oral-history-of-punk_537/index.html,
Kill 'Em and Leave: Searching for James Brown and the American Soul,Music,In Stock,8,39eefec3a8498dde,45.05,45.05,0.0,0,http://books.toscrape.com/catalogue/category/books/music_14/index.html/../../../../kill-em-and-leave-searching-for-james-brown-and-the-american-soul_528/index.html,
Chronicles  Vol. 1,Music,In Stock,7,4781b6bfd6f7a2c5,52.6,52.6,0.0,0,http://books.toscrape.com/catalogue/category/books/music_14/index.html/../../../../chronicles-vol-1_462/index.html,
This Is Your Brain on Music: The Science of a Human Obsession,Music,In Stock,5,bc209a900101f28d,38.4,38.4,0.0,0,http://books.toscrape.com/catalogue/category/books/music_14/index.html/../../../../this-is-your-brain-on-music-the-science-of-a-human-obsession_414/index.html,
Orchestra of Exiles: The Story of Bronislaw Huberman  the Israel Philharmonic  and the One Thousand Jews He Saved from Nazi Horrors,Music,In Stock,4,2ba5ccc84d35006c,12.36,12.36,0.0,0,http://books.toscrape.com/catalogue/category/books/music_14/index.html/../../../../orchestra-of-exiles-the-story-of-bronislaw-huberman-the-israel-philharmonic-and-the-one-thousand-jews-he-saved-from-nazi-horrors_337/index.html,
No One Here Gets Out Alive,Music,In Stock,4,3a95f5a2df4ff921,20.02,20.02,0.0,0,http://books.toscrape.com/catalogue/category/books/music_14/index.html/../../../../no-one-here-gets-out-alive_336/index.html,
Life,Music,In Stock,2,637e5a45062aa548,31.58,31.58,0.0,0,http://books.toscrape.com/catalogue/category/books/music_14/index.html/../../../../life_104/index.html,
Old Records Never Die: One Man's Quest for His Vinyl and His Past,Music,In Stock,1,a1985630339f4b3d,55.66,55.66,0.0,0,http://books.toscrape.com/catalogue/category/books/music_14/index.html/../../../../old-records-never-die-one-mans-quest-for-his-vinyl-and-his-past_39/index.html,
Forever Rockers (The Rocker #12),Music,In Stock,1,e564c3f1a93ccf2e,28.8,28.8,0.0,0,http://books.toscrape.com/catalogue/category/books/music_14/index.html/../../../../forever-rockers-the-rocker-12_19/index.html,
The Coming Woman: A Novel Based on the Life of the Infamous Feminist  Victoria Woodhull,Default,In Stock,19,e72a5dfc7e9267b2,17.93,17.93,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,In Stock,19,e10e1e165dc8be4a,22.6,22.6,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,
Starving Hearts (Triangular Trade Trilogy  #1),Default,In Stock,19,0312262ecafa5a40,13.99,13.99,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../starving-hearts-triangular-trade-trilogy-1_990/index.html,
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,In Stock,19,c7d160c2c0de586f,22.5,22.5,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,
Aladdin and His Wonderful Lamp,Default,In Stock,19,904208d6aa64b655,53.13,53.13,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../aladdin-and-his-wonderful-lamp_973/index.html,
Penny Maybe,Default,In Stock,18,668fe56b17cfcd4f,33.29,33.29,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../penny-maybe_965/index.html,
Maude (1883-1993):She Grew Up with the country,Default,In Stock,18,094b269567e1c300,18.02,18.02,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../maude-1883-1993she-grew-up-with-the-country_964/index.html,
The Inefficiency Assassin: Time Management Tactics for Working Smarter  Not Longer,Default,In Stock,16,8c9e6bf2467d740d,20.59,20.59,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,
Soul Reader,Default,In Stock,16,e6af5bf1163c1151,39.58,39.58,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../soul-reader_926/index.html,
Bossypants,Default,In Stock,16,74baabfc8fd84b38,49.46,49.46,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../bossypants_883/index.html,
A World of Flavor: Your Gluten Free Passport,Default,In Stock,16,70ed59f194b3c556,42.95,42.95,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../a-world-of-flavor-your-gluten-free-passport_879/index.html,
A Piece of Sky  a Grain of Rice: A Memoir in Four Meditations,Default,In Stock,16,8a380641491d43ed,56.76,56.76,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,
Tracing Numbers on a Train,Default,In Stock,15,d7d6d50c1e3d0b81,41.6,41.6,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../tracing-numbers-on-a-train_869/index.html,
Thirteen Reasons Why,Default,In Stock,15,bc2a85fd35fdc7bd,52.72,52.72,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../thirteen-reasons-why_866/index.html,
The Secret (The Secret #1),Default,In Stock,15,961f18db4f138211,27.37,27.37,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../the-secret-the-secret-1_859/index.html,
The Psychopath Test: A Journey Through the Madness Industry,Default,In Stock,15,e98a4efa85070c2f,36.0,36.0,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,
The Kite Runner,Default,In Stock,15,eac1a180047ad54e,41.82,41.82,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../the-kite-runner_847/index.html,
The Girl on the Train,Default,In Stock,15,e956d67c9bcc5809,55.02,55.02,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../the-girl-on-the-train_844/index.html,
The Emerald Mystery,Default,In Stock,15,d6670dfe3e7b42bd,23.15,23.15,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../the-emerald-mystery_842/index.html,
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Default,In Stock,15,efc3768127714ec3,32.0,32.0,0.0,0,http://books.toscrape.com/catalogue/category/books/default_15/index.html/../../../../the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html,
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,In Stock,19,e30f54cea9b38190,37.59,37.59,0.0,0,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html/../../../../mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,
Join,Science Fiction,In Stock,16,18ad3ed896c7ce05,35.67,35.67,0.0,0,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html/../../../../join_902/index.html,
